PrDM,T090C,T190C,C0S/m,C1S/m,Sbeox0V,Sbeox1V,FlECO-AFL,TurbWETntu0,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Sbeox1ML/L,Density00,Density11,SvCM,SvCM1,Flag
269.000,7.4367,7.4386,3.486107,3.486502,1.0404,1.2194,0.0299,0.1327,68.72,266.648,1.205,33.9690,33.9714,2.0051,1.9810,1027.7755,1027.7771,1483.47,1483.48,0.0000e+00
270.000,7.4270,7.4273,3.485384,3.485634,1.0391,1.2138,0.0289,0.1328,68.61,267.639,0.813,33.9702,33.9726,1.9919,1.9532,1027.7824,1027.7842,1483.45,1483.45,0.0000e+00
271.000,7.4026,7.4043,3.483589,3.483811,1.0356,1.2066,0.0246,0.1421,100.59,268.629,0.688,33.9741,33.9748,1.9595,1.9159,1027.7936,1027.7939,1483.38,1483.38,0.0000e+00
272.000,7.3643,7.3652,3.480677,3.480844,1.0311,1.1965,0.0184,0.1407,73.93,269.620,1.103,33.9795,33.9805,1.9277,1.8840,1027.8080,1027.8087,1483.25,1483.26,0.0000e+00
273.000,7.3557,7.3550,3.479984,3.479846,1.0270,1.1902,0.0285,0.1200,70.71,270.610,1.389,33.9799,33.9792,1.9070,1.8701,1027.8142,1027.8137,1483.24,1483.23,0.0000e+00
274.000,7.2665,7.2639,3.472733,3.472011,1.0236,1.1868,0.0162,0.1004,99.21,271.601,1.512,33.9881,33.9827,1.8992,1.8715,1027.8382,1027.8344,1482.92,1482.90,0.0000e+00
275.000,7.2332,7.2342,3.469864,3.470079,1.0208,1.1829,0.0185,0.0980,98.86,272.592,1.442,33.9890,33.9903,1.8965,1.8682,1027.8483,1027.8492,1482.81,1482.81,0.0000e+00
276.000,7.2322,7.2326,3.469744,3.469986,1.0178,1.1800,0.0294,0.1095,98.86,273.582,1.127,33.9882,33.9905,1.8941,1.8666,1027.8525,1027.8541,1482.82,1482.82,0.0000e+00
277.000,7.2324,7.2327,3.469809,3.470029,1.0141,1.1768,0.0365,0.0939,96.73,274.573,0.610,33.9882,33.9903,1.8944,1.8659,1027.8570,1027.8586,1482.84,1482.84,0.0000e+00
278.000,7.2303,7.2320,3.469668,3.470023,1.0108,1.1739,0.0356,0.0947,95.51,275.563,0.673,33.9883,33.9905,1.8965,1.8626,1027.8619,1027.8634,1482.85,1482.85,0.0000e+00
279.000,7.2305,7.2309,3.469715,3.469998,1.0099,1.1724,0.0190,0.0874,98.93,276.554,0.962,33.9881,33.9908,1.8946,1.8579,1027.8663,1027.8683,1482.86,1482.87,0.0000e+00
280.000,7.2299,7.2302,3.469736,3.470005,1.0081,1.1710,0.0290,0.0801,98.86,277.545,1.026,33.9885,33.9911,1.8858,1.8524,1027.8712,1027.8733,1482.88,1482.88,0.0000e+00
281.000,7.2157,7.2182,3.468653,3.468928,1.0072,1.1689,0.0433,0.0801,98.86,278.535,1.032,33.9901,33.9907,1.8804,1.8449,1027.8791,1027.8792,1482.84,1482.85,0.0000e+00
282.000,7.1986,7.1999,3.467255,3.467498,1.0054,1.1668,0.0288,0.0801,98.87,279.526,1.084,33.9912,33.9926,1.8745,1.8388,1027.8870,1027.8879,1482.79,1482.80,0.0000e+00
283.000,7.1742,7.1773,3.465259,3.465494,1.0040,1.1646,0.0304,0.0752,98.87,280.516,1.170,33.9930,33.9925,1.8687,1.8336,1027.8965,1027.8957,1482.72,1482.73,0.0000e+00
284.000,7.1510,7.1520,3.463306,3.463508,1.0033,1.1630,0.0237,0.0975,98.87,281.507,1.212,33.9939,33.9952,1.8677,1.8332,1027.9052,1027.9060,1482.64,1482.65,0.0000e+00
285.000,7.1349,7.1359,3.462001,3.462115,1.0011,1.1613,0.0205,0.1167,98.87,282.497,1.167,33.9951,33.9953,1.8595,1.8322,1027.9130,1027.9131,1482.60,1482.61,0.0000e+00
286.000,7.1146,7.1156,3.460304,3.460476,1.0000,1.1613,0.0294,0.0868,98.87,283.488,1.010,33.9959,33.9969,1.8572,1.8310,1027.9212,1027.9218,1482.54,1482.54,0.0000e+00
287.000,7.1037,7.1044,3.459381,3.459547,0.9982,1.1582,0.0255,0.0704,98.87,284.478,0.762,33.9961,33.9973,1.8547,1.8243,1027.9275,1027.9283,1482.51,1482.52,0.0000e+00
288.000,7.0912,7.0919,3.458343,3.458584,0.9968,1.1576,0.0346,0.0715,98.87,285.469,0.742,33.9966,33.9985,1.8538,1.8251,1027.9342,1027.9356,1482.48,1482.49,0.0000e+00
289.000,7.0886,7.0882,3.458114,3.458327,0.9957,1.1557,0.0228,0.0735,81.81,286.459,1.045,33.9962,33.9989,1.8496,1.8143,1027.9389,1027.9410,1482.49,1482.49,0.0000e+00
290.000,7.0848,7.0848,3.457842,3.458036,0.9949,1.1528,0.0185,0.0759,34.89,287.450,1.251,33.9964,33.9986,1.8465,1.8017,1027.9441,1027.9459,1482.49,1482.49,0.0000e+00
291.000,7.0748,7.0751,3.457054,3.457221,0.9940,1.1509,0.0198,0.0811,97.35,288.440,1.253,33.9972,33.9988,1.8409,1.7989,1027.9507,1027.9520,1482.47,1482.47,0.0000e+00
292.000,7.0619,7.0630,3.455969,3.456261,0.9930,1.1493,0.0304,0.0883,74.66,289.431,1.066,33.9975,33.9997,1.8376,1.7971,1027.9574,1027.9590,1482.44,1482.44,0.0000e+00
293.000,7.0582,7.0583,3.455671,3.455876,0.9914,1.1473,0.0334,0.0795,62.69,290.421,0.725,33.9975,33.9996,1.8299,1.7909,1027.9625,1027.9641,1482.44,1482.44,0.0000e+00
294.000,7.0429,7.0440,3.454304,3.454561,0.9890,1.1431,0.0193,0.0766,96.44,291.412,0.679,33.9971,33.9988,1.8184,1.7772,1027.9690,1027.9701,1482.40,1482.40,0.0000e+00
295.000,7.0329,7.0320,3.453386,3.453397,0.9872,1.1405,0.0382,0.0863,98.90,292.402,1.038,33.9964,33.9974,1.8098,1.7708,1027.9744,1027.9754,1482.37,1482.37,0.0000e+00
296.000,7.0084,7.0088,3.451133,3.451190,0.9859,1.1380,0.0359,0.0920,98.86,293.393,1.229,33.9955,33.9956,1.8035,1.7648,1027.9817,1027.9818,1482.29,1482.29,0.0000e+00
297.000,6.9974,6.9967,3.450128,3.450300,0.9840,1.1365,0.0323,0.0948,98.87,294.384,1.253,33.9948,33.9973,1.7957,1.7612,1027.9874,1027.9895,1482.27,1482.26,0.0000e+00
298.000,6.9881,6.9899,3.449381,3.449678,0.9822,1.1343,0.0561,0.0888,98.87,295.374,1.159,33.9952,33.9967,1.7903,1.7558,1027.9936,1027.9946,1482.25,1482.25,0.0000e+00
299.000,6.9768,6.9774,3.448437,3.448651,0.9808,1.1323,0.0438,0.0749,98.87,296.364,1.068,33.9956,33.9973,1.7884,1.7515,1028.0001,1028.0013,1482.22,1482.22,0.0000e+00
300.000,6.9659,6.9669,3.447516,3.447721,0.9796,1.1303,0.0407,0.0846,98.87,297.355,1.044,33.9957,33.9970,1.7847,1.7475,1028.0063,1028.0072,1482.19,1482.20,0.0000e+00
301.000,6.9506,6.9528,3.446213,3.446530,0.9776,1.1286,0.0240,0.0881,98.87,298.345,1.003,33.9961,33.9974,1.7795,1.7445,1028.0133,1028.0140,1482.15,1482.16,0.0000e+00
302.000,6.9424,6.9414,3.445499,3.445578,0.9762,1.1267,0.0330,0.0880,98.87,299.336,0.909,33.9958,33.9977,1.7766,1.7422,1028.0189,1028.0205,1482.14,1482.13,0.0000e+00
303.000,6.9315,6.9305,3.444596,3.444680,0.9750,1.1250,0.0146,0.0875,98.87,300.326,0.868,33.9961,33.9980,1.7744,1.7420,1028.0252,1028.0269,1482.11,1482.11,0.0000e+00
304.000,6.9247,6.9254,3.444038,3.444309,0.9734,1.1262,0.0248,0.0875,98.87,301.317,0.969,33.9962,33.9985,1.7695,1.7455,1028.0309,1028.0325,1482.10,1482.11,0.0000e+00
