EXPOCODE,CRUISE_ID,STATION_ID,EVENT_NO,NISKIN_NO,YEAR_UTC,MONTH_UTC,DAY_UTC,TIME_UTC,YEARDAY_UTC,LONGITUDE_DEC,LATITUDE_DEC,CTDPRS_DBAR,DEPTH_METER,CTDTMP_ITS90_DEG_C,TMP_REVERSING_DEG_C,CTDSAL_PSS78,CTDSAL_FLAG_W,SALINITY_PSS78,SALINITY_FLAG_W,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,TA_UMOL_KG,TA_FLAG_W,NITRATE_NITRITE_UMOL_KG,NITRATE_NITRITE_FLAG_W,SILICATE_UMOL_KG,SILICATE_FLAG_W,PHOSPHATE_UMOL_KG,PHOSPHATE_FLAG_W,original_filename,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,252,-999,4.08,-999,-999,33.796,2,116.8,2,2252.3,2,-999,9,36.0,2,69.0,2,2.65,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,302,-999,3.98,-999,-999,33.845,2,92.4,2,2273.3,2,-999,9,38.6,2,76.5,2,2.82,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,401,-999,4.03,-999,-999,34.001,2,60.6,2,2303.2,2,-999,9,41.0,2,90.8,2,2.96,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,501,-999,3.89,-999,-999,34.11,2,-999,9,2325.1,2,-999,9,42.2,2,102.8,2,3.06,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,602,-999,3.7,-999,-999,34.186,2,34.2,2,2342.6,2,-999,9,42.7,2,113.2,2,3.10,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,800,-999,3.26,-999,-999,34.289,2,26.4,2,2362.6,2,-999,9,43.6,2,128.7,2,3.17,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,998,-999,2.91,-999,-999,34.373,2,22.1,2,2378.5,2,-999,9,44.2,2,140.9,2,3.20,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,1194,-999,2.66,-999,-999,34.427,2,18.9,2,2391.6,2,-999,9,44.5,2,149.7,2,3.22,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,1479,-999,2.34,-999,-999,34.508,2,27.8,2,2393.5,2,-999,9,44.2,2,161.4,2,3.18,2,1990-001-0006.bot,,,,,,,,,,,,,,
18PZ19900509,1990.01,26,6,-999,1990,5,16,22:30,136,-144.99,50,-999,1973,-999,1.94,-999,-999,34.588,2,59.4,2,2382.8,2,-999,9,42.5,2,167.8,2,3.04,2,1990-001-0006.bot,,,,,,,,,,,,,,
