PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
120.000,7.5718,7.5722,3.489774,3.490146,0.1929,1.1585,98.88,119.032,1.242,33.9481,33.9517,2.3512,1027.0591,1027.0619,1481.51,1481.52,0.0000e+00
121.000,7.5696,7.5698,3.489800,3.490133,0.1726,1.1560,87.87,120.023,1.044,33.9501,33.9534,2.3495,1027.0656,1027.0682,1481.52,1481.53,0.0000e+00
122.000,7.5647,7.5646,3.489449,3.489772,0.1680,1.1484,93.25,121.015,0.502,33.9506,33.9541,2.3254,1027.0713,1027.0741,1481.52,1481.53,0.0000e+00
123.000,7.5615,7.5619,3.489316,3.489654,0.1664,1.1457,99.12,122.007,0.781,33.9517,33.9551,2.3339,1027.0772,1027.0798,1481.53,1481.53,0.0000e+00
124.000,7.5669,7.5672,3.490152,3.490498,0.1698,1.1421,98.88,122.998,1.118,33.9550,33.9585,2.2966,1027.0836,1027.0863,1481.57,1481.57,0.0000e+00
125.000,7.5691,7.5695,3.490461,3.490814,0.1853,1.1402,98.88,123.990,1.265,33.9558,33.9592,2.2753,1027.0884,1027.0910,1481.59,1481.60,0.0000e+00
126.000,7.5705,7.5708,3.490678,3.491029,0.1907,1.1362,79.79,124.982,1.290,33.9563,33.9598,2.2695,1027.0932,1027.0959,1481.62,1481.62,0.0000e+00
127.000,7.5721,7.5724,3.490961,3.491302,0.1800,1.1310,96.54,125.973,1.130,33.9573,33.9607,2.2645,1027.0983,1027.1009,1481.64,1481.65,0.0000e+00
128.000,7.5730,7.5735,3.491298,3.491663,0.1917,1.1300,98.27,126.965,0.696,33.9596,33.9631,2.2692,1027.1046,1027.1072,1481.66,1481.67,0.0000e+00
129.000,7.5773,7.5777,3.492090,3.492442,0.1836,1.1217,23.71,127.956,1.424,33.9635,33.9668,2.2090,1027.1116,1027.1141,1481.70,1481.71,0.0000e+00
130.000,7.5790,7.5794,3.492404,3.492760,0.2056,1.1199,61.32,128.948,1.839,33.9646,33.9682,2.1987,1027.1168,1027.1195,1481.72,1481.73,0.0000e+00
131.000,7.5800,7.5804,3.492675,3.493048,0.2129,1.1177,99.61,129.940,2.043,33.9662,33.9698,2.1877,1027.1224,1027.1252,1481.75,1481.75,0.0000e+00
132.000,7.5814,7.5816,3.492915,3.493272,0.2180,1.1162,98.88,130.931,2.165,33.9669,33.9706,2.1864,1027.1274,1027.1302,1481.77,1481.77,0.0000e+00
133.000,7.5816,7.5820,3.493088,3.493416,0.2195,1.1143,98.88,131.923,2.213,33.9681,33.9713,2.1841,1027.1328,1027.1353,1481.79,1481.79,0.0000e+00
134.000,7.5818,7.5823,3.493262,3.493605,0.2168,1.1109,98.88,132.914,2.153,33.9694,33.9726,2.1771,1027.1384,1027.1408,1481.81,1481.81,0.0000e+00
