PrDM,T090C,T190C,C0S/m,C1S/m,FlECO-AFL,Sbeox0V,AltM,DepSM,Dz/dtM,Sal00,Sal11,Sbeox0ML/L,Density00,Density11,SvCM,SvCM1,Flag
74.000,8.2947,8.2946,3.557362,3.557628,0.2297,1.2227,36.93,73.426,0.688,33.9921,33.9950,2.4716,1026.7758,1026.7781,1483.55,1483.55,0.0000e+00
75.000,8.2940,8.2938,3.557666,3.557954,0.2371,1.2077,36.14,74.418,0.472,33.9955,33.9988,2.4088,1026.7832,1026.7857,1483.57,1483.57,0.0000e+00
76.000,8.2833,8.2832,3.557203,3.557478,0.2095,1.1839,35.07,75.410,0.494,34.0005,34.0035,2.3357,1026.7932,1026.7956,1483.55,1483.55,0.0000e+00
77.000,8.2693,8.2697,3.556228,3.556539,0.2498,1.1723,34.35,76.402,0.709,34.0031,34.0061,2.3047,1026.8020,1026.8043,1483.52,1483.52,0.0000e+00
78.000,8.2557,8.2557,3.555409,3.555687,0.2480,1.1620,33.25,77.394,0.479,34.0072,34.0101,2.2851,1026.8118,1026.8141,1483.49,1483.49,0.0000e+00
79.000,8.2528,8.2528,3.555357,3.555638,0.2457,1.1477,32.07,78.386,0.430,34.0090,34.0119,2.2470,1026.8182,1026.8205,1483.50,1483.50,0.0000e+00
80.000,8.2517,8.2517,3.555472,3.555753,0.2417,1.1402,31.30,79.378,0.693,34.0107,34.0137,2.2306,1026.8243,1026.8267,1483.51,1483.52,0.0000e+00
81.000,8.2490,8.2486,3.555339,3.555581,0.2534,1.1346,30.24,80.370,0.503,34.0114,34.0144,2.2005,1026.8298,1026.8322,1483.52,1483.52,0.0000e+00
82.000,8.2399,8.2403,3.554992,3.555282,0.2626,1.1193,29.06,81.362,0.433,34.0161,34.0188,2.1126,1026.8395,1026.8415,1483.51,1483.51,0.0000e+00
83.000,8.2314,8.2313,3.554618,3.554890,0.2674,1.1070,28.20,82.354,0.563,34.0198,34.0228,2.0845,1026.8482,1026.8506,1483.50,1483.50,0.0000e+00
84.000,8.2280,8.2273,3.554449,3.554673,0.2495,1.0972,27.15,83.346,0.468,34.0209,34.0240,2.0702,1026.8542,1026.8567,1483.50,1483.50,0.0000e+00
